Experimental summary table (pb_exp=measured bT, pb_mod=force1, pb_ref=force2, pb_ratio=pb_mod/pb_ref)
experiment     Hs_m  spread_deg  cross_deg   Omega_0  max_slope   pb_exp   pb_mod   pb_ref  pb_ratio
----------------------------------------------------------------------------------------------------
         1     0.25           0          0      0.00     0.4571   0.2284   0.0288   0.0059     4.850
         2     0.30           0          0      0.00     0.4571   0.2863   0.0531   0.0156     3.412
         3     0.24           5         30      0.04     0.4754   0.0720   0.0053   0.0010     5.113
         4     0.30           5         30      0.04     0.4754   0.1657   0.0370   0.0150     2.474
         5     0.25           5         40      0.06     0.4883   0.0593   0.0062   0.0022     2.789
         6     0.30           5         40      0.06     0.4883   0.2046   0.0246   0.0123     1.998
         7     0.34           5         40      0.06     0.4883   0.3125   0.0574   0.0352     1.632
         8     0.25           5         50      0.10     0.5052   0.0389   0.0013   0.0008     1.731
         9     0.30           5         50      0.10     0.5052   0.1869   0.0232   0.0175     1.324
        10     0.35           5         50      0.10     0.5052   0.2973   0.0472   0.0380     1.240
        11     0.25           5         60      0.14     0.5261   0.0213   0.0003   0.0004     0.631
        12     0.30           5         60      0.14     0.5261   0.1572   0.0107   0.0133     0.807
        13     0.35           5         60      0.14     0.5261   0.2735   0.0316   0.0364     0.868
        14     0.40           5         60      0.14     0.5261   0.3754   0.0750   0.0814     0.921
        15     0.25           5         70      0.18     0.5511   0.0069   0.0001   0.0004     0.144
        16     0.30           5         70      0.18     0.5511   0.0756   0.0042   0.0110     0.379
        17     0.35           5         70      0.18     0.5511   0.2277   0.0289   0.0489     0.590
        18     0.24          10          0      0.02     0.4643   0.1470   0.0107   0.0018     6.086
        19     0.30          10          0      0.02     0.4643   0.2292   0.0336   0.0097     3.464
        20     0.25          10         30      0.05     0.4807   0.0855   0.0068   0.0018     3.723
        21     0.30          10         30      0.05     0.4807   0.2259   0.0267   0.0111     2.411
        22     0.34          10         30      0.05     0.4807   0.3385   0.0455   0.0223     2.039
        23     0.25          10         40      0.07     0.4937   0.0953   0.0030   0.0011     2.647
        24     0.30          10         40      0.07     0.4937   0.2333   0.0225   0.0126     1.784
        25     0.34          10         40      0.07     0.4937   0.3457   0.0520   0.0343     1.516
        26     0.25          10         50      0.11     0.5105   0.0381   0.0015   0.0011     1.380
        27     0.30          10         50      0.11     0.5105   0.1438   0.0183   0.0153     1.202
        28     0.34          10         50      0.11     0.5105   0.2832   0.0419   0.0365     1.149
